Price,Date,Open,High,Low,Close,Volume
Ticker,,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS
659,2017-09-05,361.44862001938765,362.52410972735373,359.4639909852287,362.0251770019531,25216776
660,2017-09-06,360.65035244717217,366.4379784756321,359.85208370254236,364.8635559082031,48745984
661,2017-09-07,364.99660941707214,369.2098126370031,361.44863011293194,362.8234558105469,16205339
662,2017-09-08,363.66605476567463,365.1074322711494,360.16245378624666,362.2912292480469,13248413
663,2017-09-11,364.2426412215425,366.7040287972623,362.1360397165631,362.7347412109375,12690592
664,2017-09-12,364.88574189509313,365.8836074632833,362.3356574458203,365.3292541503906,6500191
665,2017-09-13,365.44004578767874,381.361513565737,364.55305107387704,376.5274353027344,29377106
666,2017-09-14,379.54326421339397,382.07117437463523,373.4230263856734,374.24346923828125,11867640
667,2017-09-15,373.42301659063907,378.2349213442362,370.20767884305747,373.3343200683594,28595395
668,2017-09-18,376.9709628183337,377.43664916098584,373.91084401297826,374.9974060058594,5061995
669,2017-09-19,376.3944531852432,376.41662731665457,371.20555841007007,371.9151306152344,7718697
670,2017-09-20,379.6762884132525,386.94961027145723,374.7978317995238,375.7070007324219,24942703
671,2017-09-21,375.6405007561369,377.72492830569644,370.87291450768384,373.1347351074219,12950541
672,2017-09-22,372.49165479337927,372.49165479337927,360.650314403999,362.51300048828125,12294087
673,2017-09-25,361.4486461001962,367.19192379043864,357.10239790486776,364.3535461425781,14229631
674,2017-09-26,364.42008157492614,366.7927729410422,360.2068780179052,363.7104797363281,10564143
675,2017-09-27,366.1496901620635,366.19403842267445,352.8004788534231,354.4192199707031,18448855
676,2017-09-28,354.6409826108441,356.0823306520776,346.0149796782929,348.7868347167969,29547622
677,2017-09-29,351.1373748724957,351.869150808821,345.52717164061926,346.3254699707031,16666208
678,2017-10-03,352.5787263193002,356.5036360732859,348.2989712817694,354.0644226074219,18345748
679,2017-10-04,354.4413678842515,365.8613698016583,352.84480101536934,363.15606689453125,18907611
680,2017-10-05,365.88358254154394,367.41365679087505,363.067408693903,365.5066223144531,10631751
681,2017-10-06,365.4400964014347,372.2477617893705,364.81919113428455,371.22772216796875,12997688
682,2017-10-09,372.09254272966524,372.44735845540725,367.21411514930054,368.3893737792969,8850408
683,2017-10-10,368.5445642466572,375.773538133748,368.5445642466572,373.9552001953125,14732024
684,2017-10-11,374.88650298530433,380.69630226926677,370.76199667355434,372.6025085449219,15420644
685,2017-10-12,373.46738858932906,388.85668025771145,373.46738858932906,387.0605163574219,18642942
686,2017-10-13,389.9654006973145,395.02122100414687,387.3265902835023,388.701416015625,21509701
687,2017-10-16,389.83235029411924,395.59777231751843,381.9824711640137,388.8566589355469,32009221
688,2017-10-17,389.38885229381066,392.04983689754187,384.59909184908736,387.7701110839844,13898844
689,2017-10-18,389.1227670431549,407.0843171019354,388.0583791108196,405.5764465332031,36671941
690,2017-10-19,406.1528916347208,408.8582239833283,400.4761670145794,403.5362854003906,8014767
691,2017-10-23,404.8667947139501,418.9699552795636,403.1815016937894,416.7746276855469,27455320
692,2017-10-24,420.30046807462634,420.30046807462634,411.6523201636401,414.33544921875,13857773
693,2017-10-25,416.9298830412206,419.5021412668896,412.22881957381895,416.8411865234375,10011782
694,2017-10-26,416.8856198263423,424.7798187542991,412.89415729193274,420.16748046875,16840049
695,2017-10-27,421.32047370023815,424.29189582288853,410.5435212727177,412.384033203125,11498547
